,Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken,n_PCA,Fator_balanc,Normalizacao
14,RidgeClassifierCV,0.7603530210454854,0.6153196261243278,0.6153196261243278,0.7303555327888178,0.03201174736022949,N/A,0.37,NAO
15,Perceptron,0.7298031228784793,0.6096856579225476,0.6096856579225476,0.7136275321526172,0.03399944305419922,N/A,0.37,NAO
16,BaggingClassifier,0.745417515274949,0.6095265493999671,0.6095265493999671,0.7208617677435546,0.6219983100891113,N/A,0.37,NAO
17,KNeighborsClassifier,0.7345553292600135,0.6081204058148,0.6081204058148,0.7152106495395479,0.6860055923461914,N/A,0.37,NAO
18,ExtraTreeClassifier,0.6924643584521385,0.6078344801672108,0.6078344801672108,0.6923407567622246,0.030999183654785156,N/A,0.37,NAO
19,DecisionTreeClassifier,0.6877121520706042,0.6037857260280407,0.6037857260280407,0.6882085409929681,0.10501623153686523,N/A,0.37,NAO
20,SVC,0.7579769178547182,0.603671238345741,0.6036712383457411,0.7225993608854838,3.616011619567871,N/A,0.37,NAO
21,NuSVC,0.7572980312287848,0.5995984124374721,0.5995984124374721,0.7198009928426143,3.458984375,N/A,0.37,NAO
22,LabelPropagation,0.6945010183299389,0.5987999342429722,0.5987999342429722,0.6905677207797857,5.9419941902160645,N/A,0.37,NAO
23,LabelSpreading,0.693143245078072,0.5954662877809351,0.5954662877809351,0.6886250201188496,7.337998390197754,N/A,0.37,NAO
24,CalibratedClassifierCV,0.7566191446028513,0.5927185834057443,0.5927185834057443,0.7150232247366566,3.0573878288269043,N/A,0.37,NAO
25,SGDClassifier,0.7331975560081466,0.5097496536013715,0.5097496536013715,0.6324193792279151,0.046739816665649414,N/A,0.37,NAO
26,DummyClassifier,0.6126951799049559,0.5076213569432376,0.5076213569432375,0.613081259539202,0.02605605125427246,N/A,0.37,NAO
27,NearestCentroid,0.7094365241004752,0.7124621309973932,0.7124621309973931,0.7241370432379683,0.023001909255981445,N/A,0.37,SIM
28,GaussianNB,0.7247114731839783,0.694026091449238,0.694026091449238,0.7342290495002383,0.027988672256469727,N/A,0.37,SIM
29,BernoulliNB,0.7141887304820095,0.6900448556868086,0.6900448556868086,0.7254993301150201,0.026000022888183594,N/A,0.37,SIM
30,PassiveAggressiveClassifier,0.7124915139171758,0.6652262746295297,0.6652262746295295,0.7200529759270506,0.030031919479370117,N/A,0.37,SIM
31,QuadraticDiscriminantAnalysis,0.7294636795655126,0.6511577933820248,0.6511577933820247,0.7282971747647591,0.02826070785522461,N/A,0.37,SIM
32,LinearDiscriminantAnalysis,0.7532247114731839,0.6280935158873676,0.6280935158873677,0.7335370340845431,0.04398226737976074,N/A,0.37,SIM
33,AdaBoostClassifier,0.7556008146639511,0.626508888941077,0.626508888941077,0.7339685593541527,0.47899770736694336,N/A,0.37,SIM
34,LogisticRegression,0.7539035980991174,0.6241463328714685,0.6241463328714685,0.7320253168902646,0.04399847984313965,N/A,0.37,SIM
35,LGBMClassifier,0.7477936184657162,0.6219769380709705,0.6219769380709707,0.728044956750943,0.23399972915649414,N/A,0.37,SIM
36,XGBClassifier,0.7460964019008826,0.6216193842324041,0.6216193842324041,0.7270467940922749,0.685985803604126,N/A,0.37,SIM
37,LinearSVC,0.7593346911065852,0.6194358986402386,0.6194358986402386,0.7321542466736117,0.547001838684082,N/A,0.37,SIM
38,RandomForestClassifier,0.7535641547861507,0.619102416570771,0.6191024165707709,0.7293927429169123,1.548999309539795,N/A,0.37,SIM
39,ExtraTreesClassifier,0.7552613713509844,0.6186579695169206,0.6186579695169206,0.7299372974085324,0.9650120735168457,N/A,0.37,SIM
40,RidgeClassifier,0.7606924643584522,0.6159525375167328,0.6159525375167328,0.7308489284711378,0.0279996395111084,N/A,0.37,SIM
41,RidgeClassifierCV,0.7603530210454854,0.6153196261243278,0.6153196261243278,0.7303555327888178,0.029985904693603516,N/A,0.37,SIM
42,Perceptron,0.7298031228784793,0.6096856579225476,0.6096856579225476,0.7136275321526172,0.024386167526245117,N/A,0.37,SIM
43,BaggingClassifier,0.745417515274949,0.6095265493999671,0.6095265493999671,0.7208617677435546,0.501011848449707,N/A,0.37,SIM
44,KNeighborsClassifier,0.7345553292600135,0.6081204058148,0.6081204058148,0.7152106495395479,0.5049946308135986,N/A,0.37,SIM
45,ExtraTreeClassifier,0.6924643584521385,0.6078344801672108,0.6078344801672108,0.6923407567622246,0.02799820899963379,N/A,0.37,SIM
46,DecisionTreeClassifier,0.6877121520706042,0.6037857260280407,0.6037857260280407,0.6882085409929681,0.09498262405395508,N/A,0.37,SIM
