,Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken,n_PCA,encoder,Fator_balanc,Normalizacao
60,ExtraTreeClassifier,0.6583333333333333,0.5008811624694314,0.5008811624694314,0.6571652409802337,0.027983665466308594,1,LabelEncoder,N/A,SIM
61,SGDClassifier,0.77875,0.5,0.5,0.6818851018973998,0.03600192070007324,1,LabelEncoder,N/A,SIM
62,Perceptron,0.77875,0.5,0.5,0.6818851018973998,0.05601048469543457,1,LabelEncoder,N/A,SIM
63,LGBMClassifier,0.77875,0.5,0.5,0.6818851018973998,0.24699640274047852,1,LabelEncoder,N/A,SIM
64,LabelSpreading,0.77875,0.5,0.5,0.6818851018973998,22.97628903388977,1,LabelEncoder,N/A,SIM
65,SVC,0.77875,0.5,0.5,0.6818851018973998,3.7736732959747314,1,LabelEncoder,N/A,SIM
66,BernoulliNB,0.77875,0.5,0.5,0.6818851018973998,0.02499556541442871,1,LabelEncoder,N/A,SIM
67,LabelPropagation,0.77875,0.5,0.5,0.6818851018973998,8.548498392105103,1,LabelEncoder,N/A,SIM
68,GaussianNB,0.7764583333333334,0.4998768186256284,0.4998768186256284,0.6823008896476603,0.019001007080078125,1,LabelEncoder,N/A,SIM
69,QuadraticDiscriminantAnalysis,0.7764583333333334,0.4998768186256284,0.4998768186256284,0.6823008896476603,0.030657291412353516,1,LabelEncoder,N/A,SIM
70,RidgeClassifier,0.7785416666666667,0.49986623863028357,0.49986623863028357,0.6817825348483073,0.033376216888427734,1,LabelEncoder,N/A,SIM
71,RidgeClassifierCV,0.7785416666666667,0.49986623863028357,0.49986623863028357,0.6817825348483073,0.031193256378173828,1,LabelEncoder,N/A,SIM
72,AdaBoostClassifier,0.7785416666666667,0.49986623863028357,0.49986623863028357,0.6817825348483073,0.4772939682006836,1,LabelEncoder,N/A,SIM
73,LogisticRegression,0.7785416666666667,0.49986623863028357,0.49986623863028357,0.6817825348483073,0.05376577377319336,1,LabelEncoder,N/A,SIM
74,LinearDiscriminantAnalysis,0.7785416666666667,0.49986623863028357,0.49986623863028357,0.6817825348483073,0.06804537773132324,1,LabelEncoder,N/A,SIM
75,CalibratedClassifierCV,0.7785416666666667,0.49986623863028357,0.49986623863028357,0.6817825348483073,1.855292558670044,1,LabelEncoder,N/A,SIM
76,LinearSVC,0.7785416666666667,0.49986623863028357,0.49986623863028357,0.6817825348483073,0.5792717933654785,1,LabelEncoder,N/A,SIM
77,DummyClassifier,0.6502083333333334,0.4912828395498363,0.4912828395498363,0.6497936356891713,0.018435955047607422,1,LabelEncoder,N/A,SIM
78,ExtraTreeClassifier,0.6635416666666667,0.5116402620211419,0.5116402620211419,0.6634849249741915,0.031998634338378906,1,LabelEncoder,N/A,NAO
79,NearestCentroid,0.40166666666666667,0.5110152865818454,0.5110152865818454,0.4267558850256473,0.01899576187133789,1,LabelEncoder,N/A,NAO
80,DecisionTreeClassifier,0.66125,0.5071354511461158,0.5071354511461158,0.660790693744639,0.07099223136901855,1,LabelEncoder,N/A,NAO
81,RandomForestClassifier,0.66125,0.5071354511461158,0.5071354511461158,0.660790693744639,3.3250064849853516,1,LabelEncoder,N/A,NAO
82,ExtraTreesClassifier,0.6604166666666667,0.5066004056672501,0.5066004056672502,0.660187102714156,1.180666208267212,1,LabelEncoder,N/A,NAO
83,XGBClassifier,0.7772916666666667,0.5054675904514031,0.5054675904514031,0.6883248639003523,0.9471702575683594,1,LabelEncoder,N/A,NAO
84,KNeighborsClassifier,0.7375,0.5048607521469833,0.5048607521469832,0.6868728989768533,0.1571497917175293,1,LabelEncoder,N/A,NAO
85,BaggingClassifier,0.6760416666666667,0.5048358135865277,0.5048358135865277,0.666986698485163,0.4111959934234619,1,LabelEncoder,N/A,NAO
86,LinearSVC,0.77875,0.5,0.5,0.6818851018973998,0.5508406162261963,1,LabelEncoder,N/A,NAO
87,SVC,0.77875,0.5,0.5,0.6818851018973998,4.324493885040283,1,LabelEncoder,N/A,NAO
88,SGDClassifier,0.77875,0.5,0.5,0.6818851018973998,0.03199577331542969,1,LabelEncoder,N/A,NAO
89,RidgeClassifierCV,0.77875,0.5,0.5,0.6818851018973998,0.025769710540771484,1,LabelEncoder,N/A,NAO
90,RidgeClassifier,0.77875,0.5,0.5,0.6818851018973998,0.03197121620178223,1,LabelEncoder,N/A,NAO
91,QuadraticDiscriminantAnalysis,0.77875,0.5,0.5,0.6818851018973998,0.02966451644897461,1,LabelEncoder,N/A,NAO
92,PassiveAggressiveClassifier,0.77875,0.5,0.5,0.6818851018973998,0.03928089141845703,1,LabelEncoder,N/A,NAO
93,LGBMClassifier,0.77875,0.5,0.5,0.6818851018973998,0.21516895294189453,1,LabelEncoder,N/A,NAO
94,LogisticRegression,0.77875,0.5,0.5,0.6818851018973998,0.03738594055175781,1,LabelEncoder,N/A,NAO
